"id","name","province_name","aliases_csv"
R80302490,Garh More,Punjab,""
R80302570,Gullen Khel,Punjab,""
RPK7203,Haji Wala,Punjab,""
RPK7279,Harappa,Punjab,""
R80302652,Jasarwala,Punjab,""
RPK50,Kabirwala,Punjab,""
R80302645,Kotla Arab Ali Khan,Punjab,""
R80302659,Murad Wala,Punjab,""
R80302637,Mureed,Punjab,""
R80302622,Pasroor,Punjab,""
R80302717,Phool Nagar,Punjab,""
R80302595,Qila Kalar Wala,Punjab,""
R80302590,Tarbela Dam,Punjab,""
RPK7243,Tibba Sultanpur,Punjab,""
R80302528,Zafar Wal,Punjab,""
R80302630,Zahir Pir,Punjab,""
R80302808,Guddu,Sindh,""
R80302855,Jhimpir,Sindh,""
R80302888,Khairpur Nathan Shah,Sindh,""
R80302909,Kot Ghulam Mohammad,Sindh,""
R80307357,Naushero Feroze,Sindh,""
R80302905,Sehwan Sharif,Sindh,""
R6105285,Tando Muhammad Khan,Sindh,""
R8183916,Bhimber,Azad Kashmir,""
R80302938,Chak Swari,Azad Kashmir,""
R80302948,Islamgarh,Azad Kashmir,""
R80302943,Kotli,Azad Kashmir,""
R80302941,Mangla,Azad Kashmir,""
R80302937,Muzafarabad,Azad Kashmir,""
R80302945,Rawalakot,Azad Kashmir,""
