"id","name","province_name","aliases_csv"
R80302664,Ghakka Mitter,Punjab,""
R80302719,Khanqah Dogran,Punjab,""
R80302649,Ghaniaan,Punjab,""
R80302791,Gharial,Punjab,""
R80302516,Ghazipur,Punjab,""
RPK7296,Gillanwala,Punjab,""
R80302599,Gohad Pur,Punjab,""
R80302461,Khewra,Punjab,""
R80302618,Kot Chandna,Punjab,""
RPK7260,Haveli Lakha,Punjab,""
R80302620,Iskandarabad,Punjab,""
R80302402,Jamalpur,Punjab,""
R80306277,Jaranwala,Punjab,""
R80302617,Gakhar Chanan,Punjab,""
R80302489,Aminabad,Punjab,""
R80302608,Attock,Punjab,""
R80302588,Attowala,Punjab,""
R80302644,Baddomalhi,Punjab,""
R80302783,Bahawalnagar,Punjab,""
R80302319,Bala Garhi,Khyber Pakhtunkhwa,""
R80302512,Gagoo Mandi,Punjab,""
R80302766,Gopalpur,Punjab,""
R80302676,Garh Maharaja,Punjab,""
R80302715,Ghunike,Punjab,""
RPK7246,Ikhlasgarh,Punjab,""
R80302670,Gunna,Punjab,""
RPK7268,Hardas Pur,Punjab,""
R80302475,Hidayatabad,Punjab,""
R80302518,Hussain Abad,Punjab,""
RPK7225,Jaurah,Punjab,""
R80302556,Jhairanwala,Punjab,""
R80306616,Jhal Chakian,Punjab,""
RPK7230,Jhewranwali,Punjab,""
RPK7276,Karim Daad,Punjab,""
R80302712,Karimpura,Punjab,""
R80302623,Khaur,Punjab,""
R80302487,Khawaja Gunj,Punjab,""
RPK7235,Khojianwali,Punjab,""
R80302790,Kot Fateh Din,Punjab,""
R80302403,Kotha,Punjab,""
R80302479,Kot Haleem Khan,Punjab,""
R80302502,Kot Khizri,Punjab,""
R80302631,Kot Nakka,Punjab,""
R80302732,Kot Qutab,Punjab,""
R80302709,Dhunni,Punjab,""
RPK7285,Kung Bhudu,Punjab,""
R80302856,Digri,Sindh,""
R80302439,Dhudial,Punjab,""
R80302820,Daharki,Sindh,""
R80302421,Dhodak,Punjab,""
R80302704,Dijkot,Punjab,""
R80302562,Dinga,Punjab,""
R6109506,Diplo,Sindh,""
R80302911,Dokri,Sindh,""
RPK39,Dunyapur,Punjab,""
MRG-CITY-718d12b1-6a8,Faisalabad,Punjab,""
R80302781,Faqirwali,Punjab,""
R80306622,Farooqa,Punjab,""
R80302568,Fateh Jang,Punjab,""
RPK48,Fatehpur,Azad Kashmir,""
R80302660,Fazil Pur,Punjab,""
R80302750,Feroz Watan,Punjab,""
RPK1,Fort Abbas,Punjab,""
R80302730,Lodhran,Punjab,""
R80302306,Swabi,Khyber Pakhtunkhwa,""
R6589887,Bannu,Khyber Pakhtunkhwa,""
R80306612,Lak Mor,Punjab,""
RPK7249,Langrial,Punjab,""
R80302628,Lower Barian,Punjab,""
RPK7202,Makiana,Punjab,""
R80302823,Jacobabad,Sindh,""
R80302703,Jalal Pur Bhattian,Punjab,""
RPK5781,Jalalpur Pirwala,Punjab,""
R80302566,Malakwal,Punjab,""
R80306614,Mari Lak,Punjab,""
R80302706,Mandra,Punjab,""
R80302506,Mehrabad,Punjab,""
R80302614,Mehray Wala,Punjab,""
R80302657,Miani,Punjab,""
R80306620,Mona Depot,Punjab,""
R80302459,Muhammadpur,Punjab,""
R80302691,Mirpur,Punjab,""
R80306598,Mithalak,Punjab,""
R80302776,Narang Mandi,Punjab,""
R80302583,Nawan Jandanwala,Punjab,""
R80302478,Moazzamabad,Punjab,""
R80306618,Mona,Punjab,""
R80302579,Phalia,Punjab,""
R80302571,Pindi Gujran,Punjab,""
R80302746,Qila Didar Singh,Punjab,""
R80302674,Rajar,Punjab,""
R80302465,Mitran Wala,Punjab,""
R80302283,Bat Khela,Khyber Pakhtunkhwa,""
R80302639,Moch,Punjab,""
R80302520,Qasba Gujrat,Punjab,""
R80302598,Muradabad,Punjab,""
RPK7216,Musakamala,Punjab,""
R80302540,Mustafa Abad,Punjab,""
RPK7217,Nagrianwala,Punjab,""
R80302515,Nandipur,Punjab,""
R80302409,Nangal,Punjab,""
RPK7226,Nanohanda,Punjab,""
R80302780,Nawab Pur,Punjab,""
R80302573,Nawan Kot,Punjab,""
R80302621,Nawan Pind,Punjab,""
R80302533,Niaz Nagar,Punjab,""
R80302410,Noor Jamal,Punjab,""
R80302534,Noor Kot,Punjab,""
RPK7236,Pakhowal,Punjab,""
R80302648,Pir Ghani,Punjab,""
R80302395,Qadir Pur,Punjab,""
R80302553,Qasim Pur,Punjab,""
R80302416,Qila Ram Rang,Punjab,""
R80302745,Qila Sahib Singh,Punjab,""
RPK7222,Qilladar,Punjab,""
R80302640,Qudratabad,Punjab,""
R80302678,Rahimabad,Punjab,""
R80302567,Raj Kot,Punjab,""
R80302589,Rana Wahan,Punjab,""
RPK7204,Ranbarrian Wala,Punjab,""
R80302694,Rang Shah,Punjab,""
R80302612,Rani Pur,Punjab,""
RPK7233,Raniwal Syedan,Punjab,""
R80302686,Ratta Bajwa,Punjab,""
R80302560,Rehmat Abad,Punjab,""
R80302786,Sagri,Punjab,""
R80302399,Sarai Alamgir,Punjab,""
R80306608,Shahpur Sadar,Punjab,""
R80302701,Shinka,Punjab,""
R80302538,Sohawa,Punjab,""
R80302771,Tulamba,Punjab,""
R80302572,Waisa,Punjab,""
RPK7299,Sharaqpur Sharif,Punjab,""
R80302441,Behal,Punjab,""
R80302736,Bhabra,Punjab,""
R80306596,Bhagtanwala,Punjab,""
R80302443,Bhakkar,Punjab,""
R80302885,Bhan Saeead Abad,Sindh,""
R80302702,Bhaun,Punjab,""
R80302735,Bhera,Punjab,""
R80302844,Dadu,Sindh,""
RPK7302,Rolia,Punjab,""
RPK7240,Saddoki,Punjab,""
R80302851,Daur,Sindh,""
R80302845,Ghaus Pur,Sindh,""
R6109507,Islamkot,Sindh,""
RPK46,Sahuwala,Punjab,""
R80302846,Kamber,Sindh,""
RPK7271,Samma Satta,Punjab,""
R80302765,Yazman,Punjab,""
RPK7241,Sapra Syedan,Punjab,""
R80302794,Shah Nal,Punjab,""
R80302558,Shahpur Jahania,Punjab,""
R80302442,Shamaspur,Punjab,""
R80302581,Sherpur,Punjab,""
RPK7259,Tibbi Ghaus,Punjab,""
R80302650,Ugoki,Punjab,""
R80302797,Upper Topa,Punjab,""
R80302718,Wagah,Punjab,""
R80302504,Wagowal,Punjab,""
R80302467,Wah Cantt,Punjab,""
R80302714,Yousaf Wala,Punjab,""
R80302924,Bandhi,Sindh,""
R80302875,Bangul Dero,Sindh,""
R80302839,Bhanbore,Sindh,""
R80302805,Daro,Sindh,""
R80302865,Jam,Sindh,""
R6087710,Mirpur Bathoro,Sindh,""
R80302906,New Saeedabad,Sindh,""
R80302840,Petaro,Sindh,""
R80302352,Swat,Khyber Pakhtunkhwa,""
R80302886,Khairpur Mir's,Sindh,""
R80302549,Biddar Marjan,Punjab,""
R80302501,Bonga Hayyat,Punjab,""
R80302270,Buner,Khyber Pakhtunkhwa,""
RPK16,Burewala,Punjab,""
R80302282,Chak Dara,Khyber Pakhtunkhwa,""
R80302787,Chakwal,Punjab,""
R80302448,Khambi,Punjab,""
R80302456,Changa Manga,Punjab,""
R80302357,Charsadda,Khyber Pakhtunkhwa,""
R80302615,Chashma,Punjab,""
R80302761,Cheenab Nagar,Punjab,""
R80302496,Chichawatni,Punjab,""
R80302987,Chilas,Gilgit-Baltistan,""
RPK12,Chiniot,Punjab,""
R80302361,Jamal Garhi,Khyber Pakhtunkhwa,""
R80302928,Khoski,Sindh,""
R80302827,Matli,Sindh,""
R80302682,Bhopalwala,Punjab,""
R80302929,Mohenjo Daro,Sindh,""
R80302817,Nasarpur,Sindh,""
R80302802,Naukot,Sindh,""
R80302862,Ninda,Sindh,""
R80302822,Pangrio,Sindh,""
R80302829,Qambar Shahdadkot,Sindh,""
R80302853,Warah,Sindh,""
R80316267,Ziarat,Balochistan,""
R80302896,Ratodero,Sindh,""
R8192015,Bagh,Azad Kashmir,""
RPK44,Barkhan,Balochistan,""
R80302936,Barnala,Azad Kashmir,""
R80302811,Sanjar Chang,Sindh,""
R80302959,Chaman,Balochistan,""
R8187464,Dadyal,Azad Kashmir,""
